gregariousness.n.01,social/social%5:00:00:gregarious:00,gregarious/gregarious%3:00:00::,nongregarious/nongregarious%5:00:00:ungregarious:00,ungregarious/ungregarious%3:00:00::,,,,,,,,,,,,,,,,
separation.n.01,separate/separate%3:00:00::,apart/apart%5:00:00:separate:00,detached/detached%5:00:00:separate:00,discrete/discrete%5:00:00:separate:00,unaccompanied/unaccompanied%5:00:00:separate:00,asunder/asunder%5:00:00:separate:00,disjoint/disjoint%5:00:00:separate:00,disjunct/disjunct%5:00:00:separate:00,isolable/isolable%5:00:00:separate:00,,,,,,,,,,,
modernity.n.01,modern/modern%3:00:00::,contemporary/contemporary%5:00:00:modern:00,ultramodern/ultramodern%5:00:00:modern:00,neo/neo%5:00:00:modern:00,red-brick/red-brick%5:00:00:modern:00,,,,,,,,,,,,,,,
status.n.01,under/under%5:00:00:subordinate:01,quality/quality%5:00:00:upper-class:00,dominant/dominant%3:00:01::,superior/superior%5:00:00:dominant:01,secondary/secondary%5:00:00:subordinate:01,sovereign/sovereign%5:00:00:dominant:01,controlling/controlling%5:00:00:dominant:01,middle-class/middle-class%3:00:00::,associate/associate%5:00:00:subordinate:01,governing/governing%5:00:00:dominant:01,u/u%5:00:00:upper-class:00,lower-class/lower-class%3:00:00::,adjunct/adjunct%5:00:00:subordinate:01,subordinate/subordinate%3:00:01::,upper-middle-class/upper-middle-class%5:00:00:middle-class:00,possessive/possessive%5:00:00:dominant:01,bourgeois/bourgeois%5:00:02:middle-class:00,lower-middle-class/lower-middle-class%5:00:00:middle-class:00,overriding/overriding%5:00:00:dominant:01,upper-class/upper-class%3:00:00::
immediacy.n.01,direct/direct%5:00:00:immediate:00,immediate/immediate%3:00:00::,indirect/indirect%5:00:00:mediate:00,mediate/mediate%3:00:00::,,,,,,,,,,,,,,,,
ambition.n.02,ambitious/ambitious%3:00:00::,compulsive/compulsive%5:00:00:ambitious:00,aspirant/aspirant%5:00:00:ambitious:00,shiftless/shiftless%5:00:00:unambitious:00,manque/manque%5:00:00:ambitious:00,overambitious/overambitious%5:00:00:ambitious:00,pushful/pushful%5:00:00:ambitious:00,unambitious/unambitious%3:00:00::,,,,,,,,,,,,
perfection.n.01,down/down%5:00:00:perfect:00,clear/clear%5:00:00:perfect:00,complete/complete%5:00:00:perfect:00,cold/cold%5:00:00:perfect:00,clean/clean%5:00:00:perfect:00,broken/broken%5:00:00:imperfect:00,ideal/ideal%5:00:00:perfect:00,perfect/perfect%3:00:00::,irregular/irregular%5:00:00:imperfect:00,corrupt/corrupt%5:00:00:imperfect:00,defective/defective%5:00:00:imperfect:00,mint/mint%5:00:00:perfect:00,idyllic/idyllic%5:00:00:perfect:00,imperfect/imperfect%3:00:00::,flawless/flawless%5:00:00:perfect:00,faultless/faultless%5:00:00:perfect:00,blemished/blemished%5:00:00:imperfect:00,errorless/errorless%5:00:00:perfect:00,pluperfect/pluperfect%5:00:00:perfect:00,uncorrupted/uncorrupted%5:00:00:perfect:00
drama.n.04,dramatic/dramatic%3:00:00::,spectacular/spectacular%5:00:00:dramatic:00,melodramatic/melodramatic%5:00:02:dramatic:00,unspectacular/unspectacular%5:00:00:undramatic:00,hammy/hammy%5:00:00:dramatic:00,undramatic/undramatic%3:00:00::,,,,,,,,,,,,,,
kindness.n.01,kind/kind%3:00:00::,cutting/cutting%5:00:00:unkind:00,gentle/gentle%5:00:01:kind:00,harsh/harsh%5:00:00:unkind:00,charitable/charitable%5:00:00:kind:00,unkind/unkind%3:00:00::,benign/benign%5:00:00:kind:00,hurtful/hurtful%5:00:00:unkind:00,kindhearted/kindhearted%5:00:00:kind:00,,,,,,,,,,,
handiness.n.02,open/open%5:00:00:available:00,available/available%3:00:00::,ready/ready%5:00:01:available:00,easy/easy%5:00:00:available:00,visible/visible%5:00:00:available:00,handy/handy%5:00:00:accessible:00,forthcoming/forthcoming%5:00:00:available:00,unavailable/unavailable%3:00:00::,accessible/accessible%3:00:00::,outback/outback%5:00:00:inaccessible:00,approachable/approachable%5:00:00:accessible:00,inaccessible/inaccessible%3:00:00::,pathless/pathless%5:00:00:inaccessible:00,acquirable/acquirable%5:00:00:available:00,addressable/addressable%5:00:00:available:00,come-at-able/come-at-able%5:00:00:accessible:00,gettable/gettable%5:00:00:available:00,in_stock/in_stock%5:00:00:available:00,lendable/lendable%5:00:00:available:00,on_hand/on_hand%5:00:00:available:00
difference.n.01,several/several%5:00:00:different:00,different/different%3:00:00::,opposite/opposite%5:00:02:different:00,contrary/contrary%5:00:00:different:00,distinct/distinct%5:00:00:different:00,diverse/diverse%5:00:00:different:00,contrasting/contrasting%5:00:00:different:00,divergent/divergent%5:00:00:different:00,disparate/disparate%5:00:00:different:00,variant/variant%5:00:00:different:00,divers/divers%5:00:00:different:00,assorted/assorted%5:00:00:different:00,diametric/diametric%5:00:02:different:00,antithetic/antithetic%5:00:00:different:00,,,,,,
awareness.n.01,aware/aware%3:00:00::,conscious/conscious%5:00:00:aware:00,alert/alert%5:00:00:aware:00,unconscious/unconscious%5:00:01:unaware:00,sensible/sensible%5:00:00:aware:00,unaware/unaware%3:00:00::,oblivious/oblivious%5:00:00:unaware:00,unsuspecting/unsuspecting%5:00:00:unaware:00,,,,,,,,,,,,
continuity.n.03,straight/straight%5:00:00:continuous:01,continuous/continuous%3:00:01::,endless/endless%5:00:00:continuous:01,sustained/sustained%5:00:00:continuous:01,continual/continual%5:00:00:continuous:01,ceaseless/ceaseless%5:00:00:continuous:01,around-the-clock/around-the-clock%5:00:00:continuous:01,dogging/dogging%5:00:00:continuous:01,free_burning/free_burning%5:00:00:continuous:01,,,,,,,,,,,
essentiality.n.01,must/must%5:00:00:essential:00,essential/essential%3:00:00::,substantial/substantial%5:00:00:essential:00,vital/vital%5:00:00:essential:00,constituent/constituent%5:00:00:essential:00,incidental/incidental%5:00:00:inessential:00,virtual/virtual%5:00:00:essential:00,staple/staple%5:00:00:essential:00,accessorial/accessorial%5:00:00:inessential:00,adscititious/adscititious%5:00:00:inessential:00,basal/basal%5:00:00:essential:00,biogenic/biogenic%5:00:00:essential:00,inessential/inessential%3:00:00::,no-frills/no-frills%5:00:00:essential:00,,,,,,
humanness.n.01,human/human%3:00:00::,inhuman/inhuman%5:00:00:nonhuman:00,bloodless/bloodless%5:00:00:nonhuman:00,anthropomorphic/anthropomorphic%5:00:00:human:00,fallible/fallible%5:00:00:human:00,anthropoid/anthropoid%5:00:01:human:00,dehumanized/dehumanized%5:00:00:nonhuman:00,earthborn/earthborn%5:00:00:human:00,hominal/hominal%5:00:00:human:00,hominine/hominine%5:00:00:human:00,nonhuman/nonhuman%3:00:00::,,,,,,,,,
timidity.n.02,fearful/fearful%5:00:00:timid:00,timid/timid%3:00:00::,coy/coy%5:00:00:timid:00,intimidated/intimidated%5:00:00:timid:00,bashful/bashful%5:00:00:timid:00,mousy/mousy%5:00:00:timid:00,,,,,,,,,,,,,,
width.n.01,wide/wide%3:00:00::,deep/deep%5:00:00:wide:00,narrow/narrow%3:00:00::,slender/slender%5:00:00:narrow:00,sweeping/sweeping%5:00:00:wide:00,tapered/tapered%5:00:00:narrow:00,strait/strait%5:00:00:narrow:00,broad-brimmed/broad-brimmed%5:00:00:wide:00,constricting/constricting%5:00:00:narrow:00,beamy/beamy%5:00:00:wide:00,bird's-eye/bird's-eye%5:00:00:wide:00,fanlike/fanlike%5:00:00:wide:00,narrow-mouthed/narrow-mouthed%5:00:00:narrow:00,straplike/straplike%5:00:00:narrow:00,wide-screen/wide-screen%5:00:00:wide:00,,,,,
clock_time.n.01,ante_meridiem/ante_meridiem%5:00:00:antemeridian:00,antemeridian/antemeridian%3:00:00::,post_meridiem/post_meridiem%5:00:00:postmeridian:00,postmeridian/postmeridian%3:00:00::,,,,,,,,,,,,,,,,
passivity.n.01,passive/passive%3:00:01::,hands-off/hands-off%5:00:00:passive:01,resistless/resistless%5:00:00:passive:01,,,,,,,,,,,,,,,,,
ability.n.01,able/able%3:00:00::,unable/unable%3:00:00::,,,,,,,,,,,,,,,,,,
importance.n.01,great/great%5:00:01:important:00,important/important%3:00:00::,big/big%5:00:00:important:00,chief/chief%5:00:02:important:00,serious/serious%5:00:00:important:00,burning/burning%5:00:00:important:00,grand/grand%5:00:00:important:00,distinguished/distinguished%5:00:00:important:00,grave/grave%5:00:00:important:00,historic/historic%5:00:00:important:00,strategic/strategic%5:00:00:important:00,cardinal/cardinal%5:00:00:important:00,unimportant/unimportant%3:00:00::,alpha/alpha%5:00:00:important:00,all-important/all-important%5:00:00:important:00,lightweight/lightweight%5:00:00:unimportant:00,measurable/measurable%5:00:00:important:00,beta/beta%5:00:00:important:00,immaterial/immaterial%5:00:00:unimportant:00,consequential/consequential%5:00:00:important:00
attention.n.06,absent/absent%5:00:00:inattentive:00,attentive/attentive%3:00:00::,captive/captive%5:00:00:attentive:00,distracted/distracted%5:00:00:inattentive:00,dreamy/dreamy%5:00:00:inattentive:00,observant/observant%5:00:00:attentive:00,forgetful/forgetful%5:00:00:inattentive:00,solicitous/solicitous%5:00:00:attentive:00,drowsy/drowsy%5:00:00:inattentive:00,inattentive/inattentive%3:00:00::,advertent/advertent%5:00:00:attentive:00,oversolicitous/oversolicitous%5:00:00:attentive:00,,,,,,,,
freedom.n.01,free/free%3:00:00::,available/available%5:00:00:free:00,clear/clear%5:00:02:free:00,captive/captive%5:00:00:unfree:00,unrestricted/unrestricted%5:00:00:free:00,emancipated/emancipated%5:00:00:free:00,apprenticed/apprenticed%5:00:00:unfree:00,out-of-school/out-of-school%5:00:00:free:00,adscript/adscript%5:00:00:unfree:00,at_bay/at_bay%5:00:00:unfree:00,at_large/at_large%5:00:00:free:00,autonomous/autonomous%5:00:00:free:00,aweigh/aweigh%5:00:00:free:00,entangled/entangled%5:00:00:unfree:00,footloose/footloose%5:00:00:free:00,nonautonomous/nonautonomous%5:00:00:unfree:00,prisonlike/prisonlike%5:00:00:unfree:00,serflike/serflike%5:00:00:unfree:00,unconfined/unconfined%5:00:00:free:00,unconstrained/unconstrained%5:00:00:free:00
concreteness.n.01,real/real%5:00:00:concrete:00,objective/objective%5:00:00:concrete:00,concrete/concrete%3:00:00::,,,,,,,,,,,,,,,,,
intrusiveness.n.01,interfering/interfering%5:00:00:intrusive:01,encroaching/encroaching%5:00:00:intrusive:01,intrusive/intrusive%3:00:01::,unintrusive/unintrusive%3:00:00::,,,,,,,,,,,,,,,,
diverseness.n.01,varied/varied%3:00:00::,many-sided/many-sided%5:00:00:varied:00,versatile/versatile%5:00:00:varied:00,varicolored/varicolored%5:00:00:varied:00,omnifarious/omnifarious%5:00:00:varied:00,unvaried/unvaried%3:00:00::,variform/variform%5:00:00:varied:00,,,,,,,,,,,,,
benignity.n.01,kindly/kindly%5:00:00:benign:00,benign/benign%3:00:00::,,,,,,,,,,,,,,,,,,
magnitude.n.01,measurable/measurable%3:00:00::,,,,,,,,,,,,,,,,,,,
substantiality.n.01,substantial/substantial%3:00:00::,stringy/stringy%5:00:00:insubstantial:00,insubstantial/insubstantial%3:00:00::,shadowy/shadowy%5:00:00:insubstantial:00,aeriform/aeriform%5:00:00:insubstantial:00,,,,,,,,,,,,,,,
abstemiousness.n.02,ascetic/ascetic%5:00:00:abstemious:00,abstemious/abstemious%3:00:00::,abstinent/abstinent%5:00:00:abstemious:00,,,,,,,,,,,,,,,,,
directness.n.01,through/through%5:00:00:direct:00,direct/direct%3:00:00::,indirect/indirect%3:00:00::,straightforward/straightforward%5:00:00:direct:00,meandering/meandering%5:00:00:indirect:00,askance/askance%5:00:00:indirect:00,devious/devious%5:00:00:indirect:00,diversionary/diversionary%5:00:00:indirect:00,door-to-door/door-to-door%5:00:00:direct:00,nonstop/nonstop%5:00:00:direct:00,point-blank/point-blank%5:00:00:direct:00,undeviating/undeviating%5:00:00:direct:00,,,,,,,,
popularity.n.01,hot/hot%5:00:00:popular:00,popular/popular%3:00:00::,favorite/favorite%5:00:00:popular:00,fashionable/fashionable%5:00:00:popular:00,unpopular/unpopular%3:00:00::,best-selling/best-selling%5:00:00:popular:00,less-traveled/less-traveled%5:00:00:unpopular:00,touristed/touristed%5:00:00:popular:00,,,,,,,,,,,,
degree.n.01,last/last%5:00:00:high:02,high/high%3:00:02::,strong/strong%5:00:00:intense:00,low/low%3:00:02::,cold/cold%5:00:00:intense:00,bad/bad%5:00:00:intense:00,main/main%5:00:00:intense:00,deep/deep%5:00:00:intense:00,broad/broad%5:00:00:high:02,reduced/reduced%5:00:00:low:02,thick/thick%5:00:00:intense:00,extreme/extreme%5:00:00:intense:00,advanced/advanced%5:00:02:high:02,intense/intense%3:00:00::,severe/severe%5:00:00:intense:00,violent/violent%5:00:03:intense:00,concentrated/concentrated%5:00:00:intense:00,graduate/graduate%5:00:00:high:02,gentle/gentle%5:00:00:mild:00,profound/profound%5:00:00:intense:00
gluttony.n.01,greedy/greedy%5:00:00:gluttonous:00,crapulent/crapulent%5:00:00:gluttonous:00,edacious/edacious%5:00:00:gluttonous:00,gluttonous/gluttonous%3:00:00::,hoggish/hoggish%5:00:00:gluttonous:00,overgreedy/overgreedy%5:00:00:gluttonous:00,,,,,,,,,,,,,,
familiarity.n.02,old/old%5:00:00:familiar:00,strange/strange%5:00:01:unfamiliar:00,familiar/familiar%3:00:00::,beaten/beaten%5:00:00:familiar:00,acquainted/acquainted%5:00:00:familiar:00,unfamiliar/unfamiliar%3:00:00::,unacquainted/unacquainted%5:00:00:unfamiliar:00,long-familiar/long-familiar%5:00:00:familiar:00,,,,,,,,,,,,
financial_condition.n.01,poor/poor%3:00:00::,rich/rich%3:00:00::,broke/broke%5:00:00:poor:00,comfortable/comfortable%5:00:00:rich:00,affluent/affluent%5:00:00:rich:00,destitute/destitute%5:00:00:poor:00,hard_up/hard_up%5:00:00:poor:00,moneyless/moneyless%5:00:00:poor:00,unprovided_for/unprovided_for%5:00:00:poor:00,,,,,,,,,,,
significance.n.01,large/large%5:00:00:significant:00,light/light%5:00:00:insignificant:00,significant/significant%3:00:00::,fundamental/fundamental%5:00:00:significant:00,momentous/momentous%5:00:00:significant:00,noteworthy/noteworthy%5:00:00:significant:00,superficial/superficial%5:00:00:insignificant:00,operative/operative%5:00:00:significant:00,insignificant/insignificant%3:00:00::,monumental/monumental%5:00:00:significant:00,flimsy/flimsy%5:00:03:insignificant:00,portentous/portentous%5:00:00:significant:00,evidential/evidential%5:00:00:significant:00,earthshaking/earthshaking%5:00:00:significant:00,epochal/epochal%5:00:00:significant:00,hole-and-corner/hole-and-corner%5:00:00:insignificant:00,inappreciable/inappreciable%5:00:00:insignificant:00,probative/probative%5:00:00:significant:00,,
obedience.n.02,contrary/contrary%5:00:00:disobedient:00,disobedient/disobedient%3:00:00::,obedient/obedient%3:00:00::,fractious/fractious%5:00:00:disobedient:00,recusant/recusant%5:00:00:disobedient:00,Y2K_compliant/y2k_compliant%5:00:00:obedient:00,acquiescent/acquiescent%5:00:00:obedient:00,conformable/conformable%5:00:00:obedient:00,dutiful/dutiful%5:00:00:obedient:00,froward/froward%5:00:00:disobedient:00,,,,,,,,,,
completeness.n.01,all/all%5:00:00:complete:00,good/good%5:00:00:complete:00,half/half%5:00:00:incomplete:00,full/full%5:00:00:complete:00,sound/sound%5:00:00:complete:00,complete/complete%3:00:00::,dead/dead%5:00:00:complete:00,neither/neither%5:00:00:incomplete:00,clean/clean%5:00:00:complete:00,broken/broken%5:00:00:incomplete:00,accomplished/accomplished%5:00:00:complete:00,absolute/absolute%5:00:01:complete:00,incomplete/incomplete%3:00:00::,partial/partial%5:00:00:incomplete:00,all-out/all-out%5:00:00:complete:00,self-contained/self-contained%5:00:00:complete:00,hearty/hearty%5:00:00:complete:00,rudimentary/rudimentary%5:00:00:incomplete:00,exhaustive/exhaustive%5:00:00:complete:00,full-blown/full-blown%5:00:00:complete:00
likelihood.n.01,last/last%5:00:00:unlikely:00,outside/outside%5:00:00:unlikely:00,likely/likely%3:00:00::,probable/probable%5:00:00:likely:00,promising/promising%5:00:00:likely:00,unlikely/unlikely%3:00:00::,apt/apt%5:00:00:likely:00,farfetched/farfetched%5:00:00:unlikely:00,,,,,,,,,,,,
ancestry.n.02,pedigree/pedigree%5:00:00:purebred:00,hybrid/hybrid%5:00:00:crossbred:00,bigeneric/bigeneric%5:00:00:crossbred:00,crossbred/crossbred%3:00:00::,full-blooded/full-blooded%5:00:00:purebred:00,half-blooded/half-blooded%5:00:00:crossbred:00,purebred/purebred%3:00:00::,underbred/underbred%5:00:00:crossbred:00,,,,,,,,,,,,
activeness.n.02,about/about%5:00:00:active:01,hot/hot%5:00:00:active:01,active/active%3:00:01::,inactive/inactive%3:00:01::,inert/inert%5:00:00:inactive:01,acrobatic/acrobatic%5:00:00:active:01,agile/agile%5:00:00:active:01,hypoactive/hypoactive%5:00:00:inactive:01,sedentary/sedentary%5:00:00:inactive:01,abeyant/abeyant%5:00:00:inactive:01,desk-bound/desk-bound%5:00:00:inactive:01,hands-on/hands-on%5:00:00:active:03,hyperactive/hyperactive%5:00:00:active:01,on_the_go/on_the_go%5:00:00:active:01,proactive/proactive%5:00:00:active:03,sporty/sporty%5:00:00:active:01,,,,
political_orientation.n.01,liberal/liberal%3:00:00::,conservative/conservative%3:00:00::,progressive/progressive%5:00:00:liberal:00,socialized/socialized%5:00:00:liberal:00,fusty/fusty%5:00:00:conservative:00,neoliberal/neoliberal%5:00:00:liberal:00,blimpish/blimpish%5:00:00:conservative:00,buttoned-up/buttoned-up%5:00:00:conservative:00,civil-libertarian/civil-libertarian%5:00:00:liberal:00,hidebound/hidebound%5:00:00:conservative:00,ultraconservative/ultraconservative%5:00:00:conservative:00,welfarist/welfarist%5:00:00:liberal:00,,,,,,,,
opacity.n.03,solid/solid%5:00:00:opaque:00,opaque/opaque%3:00:00::,cloudy/cloudy%5:00:00:opaque:00,milky/milky%5:00:00:opaque:00,fogged/fogged%5:00:00:opaque:00,frosted/frosted%5:00:00:opaque:00,glaucous/glaucous%5:00:00:opaque:00,lightproof/lightproof%5:00:00:opaque:00,semiopaque/semiopaque%5:00:00:opaque:00,,,,,,,,,,,
texture.n.01,small/small%5:00:00:fine:00,close/close%5:00:00:fine:00,fine/fine%3:00:00::,loose/loose%5:00:00:coarse:00,coarse/coarse%3:00:00::,powdered/powdered%5:00:00:fine:00,close-grained/close-grained%5:00:00:fine:00,coarse-grained/coarse-grained%5:00:01:coarse:00,dustlike/dustlike%5:00:00:fine:00,farinaceous/farinaceous%5:00:00:coarse:00,floury/floury%5:00:00:fine:00,granulated/granulated%5:00:00:coarse:00,nongranular/nongranular%5:00:00:fine:00,plushy/plushy%5:00:00:coarse:00,superfine/superfine%5:00:00:fine:00,,,,,
age.n.01,new/new%3:00:00::,little/little%5:00:00:young:00,old/old%3:00:01::,young/young%5:00:00:new:00,early/early%5:00:00:young:00,recent/recent%5:00:00:new:00,hot/hot%5:00:00:new:00,fresh/fresh%5:00:00:new:00,junior/junior%5:00:00:young:00,ancient/ancient%5:00:00:old:02,rising/rising%5:00:00:new:00,headed/headed%5:00:00:mature:01,novel/novel%5:00:00:new:00,yellow/yellow%5:00:00:old:01,prime/prime%5:00:00:mature:01,virgin/virgin%5:00:00:new:00,mature/mature%3:00:01::,adult/adult%5:00:00:mature:01,revolutionary/revolutionary%5:00:00:new:00,aged/aged%5:00:01:old:02
staleness.n.02,hard/hard%5:00:00:stale:00,cold/cold%5:00:00:stale:00,bad/bad%5:00:00:stale:00,limp/limp%5:00:00:stale:00,corrupt/corrupt%5:00:00:stale:00,stale/stale%3:00:00::,rotten/rotten%5:00:00:stale:00,addled/addled%5:00:00:stale:00,day-old/day-old%5:00:00:stale:00,flyblown/flyblown%5:00:00:stale:00,moldy/moldy%5:00:00:stale:00,putrescent/putrescent%5:00:00:stale:00,putrid/putrid%5:00:00:stale:00,rancid/rancid%5:00:00:stale:00,,,,,,
dehiscence.n.01,dehiscent/dehiscent%3:00:00::,indehiscent/indehiscent%3:00:00::,,,,,,,,,,,,,,,,,,
