attribute,common dependencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wariness_1:07:00::,gullible = unwary,gullible = unguarded,gullible < wary,gullible < on_guard,unwary = unguarded,unwary < wary,unwary < on_guard,unguarded < wary,unguarded < on_guard,wary = on_guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullness_1:26:00::,heavy < full,heavy < brimful,heavy > riddled,heavy = flooded,heavy > void,heavy > vacant,heavy > lifeless,heavy > bare,heavy < filled,heavy = stuffed,heavy = loaded,heavy > congested,heavy > empty,heavy > looted,full > riddled,full > flooded,full > void,full > vacant,full > lifeless,full > bare,full = filled,full > loaded,full > congested,full > empty,full > looted,brimful > riddled,brimful > flooded,brimful > void,brimful > vacant,brimful > lifeless,brimful > bare,brimful = filled,brimful > congested,brimful > empty,brimful > looted,riddled < flooded,riddled > void,riddled > vacant,riddled > lifeless,riddled > bare,riddled < filled,riddled < stuffed,riddled < loaded,riddled > congested,riddled > empty,riddled > looted,flooded > void,flooded > vacant,flooded > lifeless,flooded > bare,flooded < filled,flooded = stuffed,flooded = loaded,flooded > congested,flooded > empty,flooded > looted,void = vacant,void < lifeless,void < bare,void < filled,void < stuffed,void < loaded,void < congested,void = empty,void < looted,vacant < lifeless,vacant < bare,vacant < filled,vacant < stuffed,vacant < loaded,vacant < congested,vacant = empty,vacant < looted,lifeless = bare,lifeless < filled,lifeless < stuffed,lifeless < loaded,lifeless < congested,lifeless > empty,lifeless > looted,bare < filled,bare < stuffed,bare < loaded,bare < congested,bare > empty,filled > stuffed,filled > loaded,filled > congested,filled > empty,filled > looted,stuffed = loaded,stuffed > congested,stuffed > empty,stuffed > looted,loaded > congested,loaded > empty,loaded > looted,congested > empty,congested > looted,empty < looted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nature_1:07:01::,disagreeable < waspish,disagreeable > ornery,disagreeable > gruff,disagreeable < ill-natured,disagreeable < snappy,disagreeable < placid,disagreeable > irritable,disagreeable > choleric,disagreeable < nagging,disagreeable < amiable,disagreeable < good-natured,waspish < sulky,waspish < ugly,waspish > churlish,waspish > ornery,waspish = ill-natured,waspish < placid,waspish > choleric,waspish < amiable,waspish < good-natured,sulky > currish,sulky > churlish,sulky > ornery,sulky > gruff,sulky < ill-natured,sulky < snappy,sulky < placid,sulky > irritable,sulky > choleric,sulky < nagging,sulky < amiable,sulky < good-natured,ugly > currish,ugly > churlish,ugly > ornery,ugly > gruff,ugly < placid,ugly > irritable,ugly > choleric,ugly < nagging,ugly < amiable,ugly < good-natured,currish > churlish,currish > ornery,currish = gruff,currish < ill-natured,currish < snappy,currish < placid,currish > choleric,currish < nagging,currish < amiable,currish < good-natured,churlish > ornery,churlish < gruff,churlish < ill-natured,churlish < snappy,churlish < placid,churlish < irritable,churlish < nagging,churlish < amiable,churlish < good-natured,ornery = gruff,ornery < ill-natured,ornery < snappy,ornery < placid,ornery < nagging,ornery < amiable,ornery < good-natured,gruff < ill-natured,gruff < snappy,gruff < placid,gruff > choleric,gruff < nagging,gruff < amiable,gruff < good-natured,ill-natured = snappy,ill-natured < placid,ill-natured > choleric,ill-natured = nagging,ill-natured < amiable,ill-natured < good-natured,snappy < placid,snappy > irritable,snappy > choleric,snappy < amiable,snappy < good-natured,placid > irritable,placid > choleric,placid > nagging,placid < amiable,placid < good-natured,irritable > choleric,irritable < nagging,irritable < amiable,irritable < good-natured,choleric < nagging,choleric < amiable,choleric < good-natured,nagging < amiable,nagging < good-natured,amiable = good-natured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sincerity_1:07:00::,gilded = false,gilded < cordial,gilded < sincere,gilded < honest,gilded < plausible,gilded < heart-whole,gilded < true,false < cordial,false < hypocritical,false < sincere,false < honest,false < plausible,false < heart-whole,false = feigned,false = insincere,false < true,cordial > hypocritical,cordial < sincere,cordial > dissimulative,cordial < honest,cordial < plausible,cordial < heart-whole,cordial > feigned,cordial > insincere,cordial < true,hypocritical < sincere,hypocritical > dissimulative,hypocritical < honest,hypocritical < plausible,hypocritical < heart-whole,hypocritical > feigned,hypocritical > insincere,hypocritical < true,sincere > dissimulative,sincere > honest,sincere > plausible,sincere = heart-whole,sincere > feigned,sincere > insincere,sincere = true,dissimulative < honest,dissimulative < plausible,dissimulative < heart-whole,dissimulative = feigned,dissimulative < true,honest > plausible,honest > feigned,honest > insincere,honest = true,plausible < heart-whole,plausible > feigned,plausible > insincere,plausible < true,heart-whole > feigned,heart-whole > insincere,feigned = insincere,feigned < true,insincere < true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admissibility_1:07:00::,inadmissible < admissible,inadmissible < permissible,inadmissible = impermissible,inadmissible < allowable,inadmissible < admittable,admissible = permissible,admissible > impermissible,admissible = allowable,admissible = admittable,permissible > impermissible,permissible = allowable,permissible = admittable,impermissible < allowable,impermissible < admittable,allowable = admittable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attractiveness_1:07:00::,dinky < fascinating,dinky < taking,dinky < photogenic,dinky < hypnotic,dinky < winsome,dinky < magnetic,dinky < attractive,dinky > unattractive,dinky = unprepossessing,dinky < personable,dinky < irresistible,fascinating > plain,fascinating < taking,fascinating < photogenic,fascinating < hypnotic,fascinating > winsome,fascinating < magnetic,fascinating < attractive,fascinating > unattractive,fascinating > unprepossessing,fascinating < personable,fascinating < irresistible,plain < taking,plain < photogenic,plain < hypnotic,plain < winsome,plain < magnetic,plain < attractive,plain > unattractive,plain < personable,plain < irresistible,taking < photogenic,taking < hypnotic,taking < magnetic,taking < attractive,taking > unattractive,taking > unprepossessing,taking < personable,taking < irresistible,photogenic < hypnotic,photogenic < magnetic,photogenic < attractive,photogenic > unattractive,photogenic > unprepossessing,photogenic < personable,photogenic < irresistible,hypnotic > winsome,hypnotic = magnetic,hypnotic > attractive,hypnotic > unattractive,hypnotic > unprepossessing,hypnotic > personable,winsome < magnetic,winsome < attractive,winsome > unattractive,winsome > unprepossessing,winsome < personable,winsome < irresistible,magnetic > attractive,magnetic > unattractive,magnetic > unprepossessing,magnetic > personable,attractive > unattractive,attractive > unprepossessing,attractive > personable,attractive < irresistible,unattractive < unprepossessing,unattractive < personable,unattractive < irresistible,unprepossessing < personable,unprepossessing < irresistible,personable < irresistible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
destructibility_1:07:00::,undestroyable = indestructible,undestroyable < abolishable,undestroyable < destructible,undestroyable < destroyable,indestructible < abolishable,indestructible < destructible,indestructible < destroyable,destructible = destroyable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
significance_1:07:00::,remarkable < epoch-making,remarkable < monumental,remarkable > unimportant,remarkable > trivial,remarkable < world-shaking,remarkable < momentous,epoch-making = monumental,epoch-making > unimportant,epoch-making = important,epoch-making > trivial,epoch-making = world-shaking,epoch-making = momentous,monumental > unimportant,monumental > trivial,monumental = world-shaking,monumental = momentous,unimportant < important,unimportant = trivial,unimportant < world-shaking,unimportant < momentous,important > trivial,important = world-shaking,important = momentous,trivial < world-shaking,trivial < momentous,world-shaking = momentous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creativity_1:09:00::,imaginative = creative,imaginative > fictive,imaginative > fanciful,imaginative > sterile,imaginative > uncreative,creative > fictive,creative > fanciful,creative > sterile,creative > uncreative,fictive < fanciful,fictive > sterile,fictive > uncreative,fanciful > sterile,fanciful > uncreative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activeness_1:07:00::,dormant < on_the_go,dormant < athletic,dormant < overactive,dormant < quick,dormant < inactive,dormant < proactive,dormant < hypoactive,dormant < active,dormant < sedentary,dormant < hands-on,dormant < desk-bound,dormant < sporty,on_the_go > inert,on_the_go < overactive,on_the_go > inactive,on_the_go = proactive,on_the_go > hypoactive,on_the_go < active,on_the_go > sedentary,on_the_go > hands-on,on_the_go > desk-bound,on_the_go < sporty,inert < athletic,inert < overactive,inert < quick,inert < proactive,inert < hypoactive,inert < active,inert = sedentary,inert < hands-on,inert < sporty,athletic < overactive,athletic > inactive,athletic > hypoactive,athletic < active,athletic > sedentary,athletic > hands-on,athletic > desk-bound,overactive = quick,overactive > inactive,overactive > proactive,overactive > hypoactive,overactive > active,overactive > sedentary,overactive > hands-on,overactive > desk-bound,overactive = sporty,quick > inactive,quick > hypoactive,quick > sedentary,quick > hands-on,quick > desk-bound,quick = sporty,inactive < proactive,inactive < hypoactive,inactive < active,inactive < hands-on,inactive < sporty,proactive > hypoactive,proactive = active,proactive > sedentary,proactive > hands-on,proactive > desk-bound,proactive < sporty,hypoactive < active,hypoactive > sedentary,hypoactive < hands-on,hypoactive > desk-bound,hypoactive < sporty,active > sedentary,active > hands-on,active > desk-bound,sedentary < hands-on,sedentary < sporty,hands-on > desk-bound,hands-on < sporty,desk-bound < sporty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intelligence_1:09:00::,clever > natural,clever < brilliant,clever > headless,clever > stupid,clever < intelligent,natural < brilliant,natural > headless,natural < bright,natural > stupid,natural < intelligent,brilliant > headless,brilliant > bright,brilliant > stupid,brilliant > intelligent,headless < bright,headless = stupid,headless < intelligent,bright > stupid,bright < intelligent,stupid < intelligent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
