gregariousness,gregariousness_1:07:00::_the quality of being gregarious--having a dislike of being alone,social/social%5:00:00:gregarious:00/tending to move or live together in groups or colonies of the same kind,solitary/solitary%5:00:00:ungregarious:00/of plants and animals; not growing or living in groups or colonies,gregarious/gregarious%3:00:00::/(of animals) tending to form a group with others of the same species,ungregarious/ungregarious%3:00:00::/(of animals) not gregarious,,,,,,,,,,,,,,,,
separation,separation_1:26:00::_the state of lacking unity,separate/separate%3:00:00::/independent; not united or joint,apart/apart%5:00:00:separate:00/having characteristics not shared by others,distinct/distinct%5:00:00:separate:00/constituting a separate entity or part,isolated/isolated%5:00:01:separate:00/marked by separation of or from usually contiguous elements,unaccompanied/unaccompanied%5:00:00:separate:00/(of a state or an event) taking place without something specified occurring at the same time,asunder/asunder%5:00:00:separate:00/widely separated especially in space,disjoint/disjoint%5:00:00:separate:00/having no elements in common,,,,,,,,,,,,,
modernity,modernity_1:07:00::_the quality of being current or of the present,modern/modern%3:00:00::/belonging to the modern era; since the Middle Ages,contemporary/contemporary%5:00:00:modern:00/characteristic of the present,ultramodern/ultramodern%5:00:00:modern:00/extremely modern,neo/neo%5:00:00:modern:00/(used as a combining form) recent or new,red-brick/red-brick%5:00:00:modern:00/of or relating to British universities founded in the late 19th century or the 20th century,,,,,,,,,,,,,,,
status,status_1:26:00::_the relative position or standing of things or especially persons in a society,"under/under%5:00:00:subordinate:01/lower in rank, power, or authority",quality/quality%5:00:00:upper-class:00/of high social status,dominant/dominant%3:00:01::/exercising influence or control,supreme/supreme%5:00:00:dominant:01/greatest in status or authority or power,superior/superior%5:00:00:dominant:01/(sometimes followed by `to') not subject to or influenced by,assistant/assistant%5:00:00:subordinate:01/of or relating to a person who is subordinate to another,conservative/conservative%5:00:00:middle-class:00/conforming to the standards and conventions of the middle class,secondary/secondary%5:00:00:subordinate:01/belonging to a lower class or rank,controlling/controlling%5:00:00:dominant:01/able to control or determine policy,middle-class/middle-class%3:00:00::/occupying a socioeconomic position intermediate between those of the lower classes and the wealthy,associate/associate%5:00:00:subordinate:01/having partial rights and privileges or subordinate status,governing/governing%5:00:00:dominant:01/responsible for making and enforcing rules and laws,u/u%5:00:00:upper-class:00/(chiefly British) of or appropriate to the upper classes especially in language use,paramount/paramount%5:00:00:dominant:01/having superior power and influence,lower-class/lower-class%3:00:00::/occupying the lowest socioeconomic position in a society,subordinate/subordinate%3:00:01::/lower in rank or importance,upper-middle-class/upper-middle-class%5:00:00:middle-class:00/occupying the upper part of the middle socioeconomic range in a society,possessive/possessive%5:00:00:dominant:01/having or showing a desire to control or dominate,bourgeois/bourgeois%5:00:01:middle-class:00/belonging to the middle class,lower-middle-class/lower-middle-class%5:00:00:middle-class:00/occupying the lower part of the middle socioeconomic range in a society
immediacy,immediacy_1:07:02::_lack of an intervening or mediating agency,"direct/direct%5:00:00:immediate:00/having no intervening persons, agents, conditions",immediate/immediate%3:00:00::/having no intervening medium,indirect/indirect%5:00:00:mediate:00/having intervening factors or persons or influences,mediate/mediate%3:00:00::/acting through or dependent on an intervening agency,,,,,,,,,,,,,,,,
ambition,ambition_1:07:00::_a strong drive for success,determined/determined%5:00:00:ambitious:00/strongly motivated to succeed,ambitious/ambitious%3:00:00::/having a strong desire for success or achievement,wishful/wishful%5:00:00:ambitious:00/desiring or striving for recognition or advancement,would-be/would-be%5:00:00:ambitious:00/unfulfilled or frustrated in realizing an ambition,shiftless/shiftless%5:00:00:unambitious:00/lacking or characterized by lack of ambition or initiative; lazy,ambitionless/ambitionless%3:00:00::/having little desire for success or achievement,overambitious/overambitious%5:00:00:ambitious:00/excessively ambitious,pushful/pushful%5:00:00:ambitious:00/marked by aggressive ambition and energy and initiative,,,,,,,,,,,,
perfection,perfection_1:26:00::_the state of being without a flaw or defect,down/down%5:00:00:perfect:00/understood perfectly,clear/clear%5:00:00:perfect:00/free from flaw or blemish or impurity,complete/complete%5:00:00:perfect:00/perfect and complete in every respect; having all necessary qualities,cold/cold%5:00:00:perfect:00/marked by errorless familiarity,clean/clean%5:00:00:perfect:00/(of a record) having no marks of discredit or offense,broken/broken%5:00:00:imperfect:00/imperfectly spoken or written,ideal/ideal%5:00:00:perfect:00/conforming to an ultimate standard of perfection or excellence; embodying an ideal,perfect/perfect%3:00:00::/being complete of its kind and without defect or blemish,irregular/irregular%5:00:00:imperfect:00/falling below the manufacturer's standard,corrupt/corrupt%5:00:00:imperfect:00/containing errors or alterations,faulty/faulty%5:00:00:imperfect:00/having a defect,mint/mint%5:00:00:perfect:00/as if new,impeccable/impeccable%5:00:00:perfect:00/without fault or error,idyllic/idyllic%5:00:00:perfect:00/excellent and delightful in all respects,imperfect/imperfect%3:00:00::/not perfect; defective or inadequate,flawless/flawless%5:00:00:perfect:00/without a flaw,blemished/blemished%5:00:00:imperfect:00/having a blemish or flaw,errorless/errorless%5:00:00:perfect:00/free from error,pluperfect/pluperfect%5:00:00:perfect:00/more than perfect,uncorrupted/uncorrupted%5:00:00:perfect:00/(of language) not having its purity or excellence debased
drama,drama_1:07:00::_the quality of being arresting or highly emotional,dramatic/dramatic%3:00:00::/suitable to or characteristic of drama,spectacular/spectacular%5:00:00:dramatic:00/characteristic of spectacles or drama,melodramatic/melodramatic%5:00:02:dramatic:00/having the excitement and emotional appeal of melodrama,unspectacular/unspectacular%5:00:00:undramatic:00/not spectacular,hammy/hammy%5:00:00:dramatic:00/affectedly dramatic; overacted,undramatic/undramatic%3:00:00::/lacking dramatic force and quality,,,,,,,,,,,,,,
kindness,kindness_1:07:00::_the quality of being warmhearted and considerate and humane and sympathetic,kind/kind%3:00:00::/having or showing a tender and considerate and helpful nature; used especially of persons and their behavior,cutting/cutting%5:00:00:unkind:00/(of speech) harsh or hurtful in tone or character,rough/rough%5:00:00:unkind:00/unkind or cruel or uncivil,sympathetic/sympathetic%5:00:00:kind:00/showing or motivated by sympathy and understanding and generosity,gentle/gentle%5:00:01:kind:00/having or showing a kindly or tender nature,gracious/gracious%5:00:00:kind:00/characterized by kindness and warm courtesy especially of a king to his subjects,unkind/unkind%3:00:00::/lacking kindness,unsympathetic/unsympathetic%5:00:00:unkind:00/lacking in sympathy and kindness,benign/benign%5:00:00:kind:00/kindness of disposition or manner,hurtful/hurtful%5:00:00:unkind:00/causing hurt,kind-hearted/kind-hearted%5:00:00:kind:00/having or proceeding from an innately kind disposition,,,,,,,,,
handiness,handiness_1:07:00::_the quality of being at hand when needed,open/open%5:00:00:available:00/not having been filled,available/available%3:00:00::/obtainable or accessible and ready for use or service,ready/ready%5:00:01:available:00/(of especially money) immediately available,easy/easy%5:00:00:available:00/less in demand and therefore readily obtainable,visible/visible%5:00:00:available:00/present and easily available,remote/remote%5:00:00:inaccessible:00/inaccessible and sparsely populated; ,handy/handy%5:00:00:accessible:00/easy to reach,forthcoming/forthcoming%5:00:00:available:00/available when required or as promised,obtainable/obtainable%5:00:00:available:00/capable of being obtained,unavailable/unavailable%3:00:00::/not available or accessible or at hand,accessible/accessible%3:00:00::/capable of being reached,unobtainable/unobtainable%5:00:00:unavailable:00/not capable of being obtained,approachable/approachable%5:00:00:accessible:00/easily approached,inaccessible/inaccessible%3:00:00::/capable of being reached only with great difficulty or not at all,pathless/pathless%5:00:00:inaccessible:00/lacking pathways,acquirable/acquirable%5:00:00:available:00/capable of being acquired,addressable/addressable%5:00:00:available:00/capable of being addressed,come-at-able/come-at-able%5:00:00:accessible:00/capable of being reached or attained,for_sale/for_sale%5:00:00:available:00/available for purchase,in_stock/in_stock%5:00:00:available:00/available for use or sale
difference,difference_1:07:00::_the quality of being unlike or dissimilar,several/several%5:00:00:different:00/distinct and individual,different/different%3:00:00::/unlike in nature or quality or form or degree,various/various%5:00:00:different:00/distinctly dissimilar or unlike,opposite/opposite%5:00:02:different:00/altogether different in nature or quality or significance,contrary/contrary%5:00:00:different:00/very opposed in nature or character or purpose,distinct/distinct%5:00:00:different:00/(often followed by `from') not alike; different in nature or quality,diverse/diverse%5:00:02:different:00/many and different,contrasting/contrasting%5:00:00:different:00/strikingly different; tending to contrast,divergent/divergent%5:00:00:different:00/diverging from another or from a standard,disparate/disparate%5:00:00:different:00/fundamentally different or distinct in quality or kind,antithetical/antithetical%5:00:00:different:00/sharply contrasted in character or purpose,,,,,,,,,
awareness,awareness_1:09:00::_having knowledge of,aware/aware%3:00:00::/(sometimes followed by `of') having or showing knowledge or understanding or realization or perception,alive/alive%5:00:00:aware:00/mentally perceptive and responsive,conscious/conscious%5:00:00:aware:00/(followed by `of') showing realization or recognition of something,unconscious/unconscious%5:00:01:unaware:00/(followed by `of') not knowing or perceiving,sensible/sensible%5:00:00:aware:00/aware intuitively or intellectually of something sensed,unaware/unaware%3:00:00::/(often followed by `of') not aware,oblivious/oblivious%5:00:00:unaware:00/(followed by `to' or `of') lacking conscious awareness of,unsuspecting/unsuspecting%5:00:00:unaware:00/(often followed by `of') not knowing or expecting; not thinking likely,,,,,,,,,,,,
continuity,continuity_1:07:00::_the property of a continuous and connected period of time,straight/straight%5:00:00:continuous:01/successive (without a break),constant/constant%5:00:00:continuous:01/uninterrupted in time and indefinitely long continuing,continuous/continuous%3:00:01::/continuing in time or space without interruption,endless/endless%5:00:00:continuous:01/having the ends united so as to form a continuous whole,sustained/sustained%5:00:02:continuous:01/(of an electric arc) continuous,continual/continual%5:00:00:continuous:01/`continual' (meaning seemingly uninterrupted) is often used interchangeably with `continuous' (meaning without interruption),persisting/persisting%5:00:00:continuous:01/relentless and indefatigable in pursuit or as if in pursuit,nonstop/nonstop%5:00:00:continuous:01/at all times,,,,,,,,,,,,
essentiality,essentiality_1:07:00::_basic importance,must/must%5:00:00:essential:00/highly recommended,primary/primary%5:00:00:essential:00/of primary importance,essential/essential%3:00:00::/basic and fundamental,"substantial/substantial%5:00:00:essential:00/having a firm basis in reality and being therefore important, meaningful, or considerable",vital/vital%5:00:00:essential:00/performing an essential function in the living body,organic/organic%5:00:00:essential:00/constitutional in the structure of something (especially your physical makeup),incidental/incidental%5:00:00:inessential:00/not of prime or central importance,virtual/virtual%5:00:00:essential:00/existing in essence or effect though not in actual fact,"staple/staple%5:00:00:essential:00/necessary or important, especially regarding food or commodities",accessorial/accessorial%5:00:00:inessential:00/nonessential but helpful,adscititious/adscititious%5:00:00:inessential:00/supplemental; not part of the real or essential nature of a thing,biogenic/biogenic%5:00:00:essential:00/essential for maintaining the fundamental life processes,inessential/inessential%3:00:00::/not basic or fundamental,no-frills/no-frills%5:00:00:essential:00/characterized by the absence of inessential features,,,,,,
humanness,humanness_1:07:00::_the quality of being human,human/human%3:00:00::/having human form or attributes as opposed to those of animals or divine beings,"weak/weak%5:00:00:human:00/wanting in moral strength, courage, or will; having the attributes of man as opposed to e.g. divine beings",inhuman/inhuman%5:00:00:nonhuman:00/belonging to or resembling something nonhuman,bloodless/bloodless%5:00:00:nonhuman:00/devoid of human emotion or feeling,anthropomorphic/anthropomorphic%5:00:00:human:00/suggesting human characteristics for animals or inanimate things,dehumanised/dehumanised%5:00:00:nonhuman:00/divested of human qualities or attributes,anthropoid/anthropoid%5:00:02:nonhuman:00/resembling apes,earthborn/earthborn%5:00:00:human:00/springing from or born on the earth,hominal/hominal%5:00:00:human:00/of humankind as a species,hominine/hominine%5:00:00:human:00/characteristic of humankind,nonhuman/nonhuman%3:00:00::/not human; not belonging to or produced by or appropriate to human beings,,,,,,,,,
timidity,timidity_1:07:00::_fearfulness in venturing into new and unknown places or activities,fearful/fearful%5:00:00:timid:00/timid by nature or revealing timidity,timid/timid%3:00:00::/showing fear and lack of confidence,coy/coy%5:00:00:timid:00/modestly or warily rejecting approaches or overtures,intimidated/intimidated%5:00:00:timid:00/made timid or fearful as by threats,"bashful/bashful%5:00:00:timid:00/self-consciously timid; lowering my head, I looked at the wall""- Ezra Pound",mousy/mousy%5:00:00:timid:00/quiet and timid and ineffectual,,,,,,,,,,,,,,
width,width_1:07:00::_the extent of something from side to side,wide/wide%3:00:00::/having great (or a certain) extent from one side to the other,deep/deep%5:00:00:wide:00/extending relatively far inward,thin/thin%5:00:00:narrow:00/very narrow,narrow/narrow%3:00:00::/not wide,sweeping/sweeping%5:00:00:wide:00/taking in or moving over (or as if over) a wide area; often used in combination,tapered/tapered%5:00:00:narrow:00/becoming gradually narrower,strait/strait%5:00:00:narrow:00/narrow,broad-brimmed/broad-brimmed%5:00:00:wide:00/(of hats) having a broad brim,panoramic/panoramic%5:00:00:wide:00/as from an altitude or distance,beamy/beamy%5:00:00:wide:00/broad in the beam,fanlike/fanlike%5:00:00:wide:00/resembling a fan,narrow-mouthed/narrow-mouthed%5:00:00:narrow:00/having a narrow mouth,straplike/straplike%5:00:00:narrow:00/long and narrow like a strap,wide-screen/wide-screen%5:00:00:wide:00/(motion pictures) projected on a screen with much greater width than height,,,,,,
passivity,passivity_1:07:00::_the trait of remaining inactive; a lack of initiative,passive/passive%3:00:01::/lacking in energy or will,hands-off/hands-off%5:00:00:passive:01/not involving participation or intervention,supine/supine%5:00:00:passive:01/offering no resistance,,,,,,,,,,,,,,,,,
importance,importance_1:07:00::_the quality of being important and worthy of note,little/little%5:00:00:unimportant:00/(informal) small and of little importance,great/great%5:00:01:important:00/of major significance or importance,important/important%3:00:00::/of great significance or value,big/big%5:00:00:important:00/significant,central/central%5:00:00:important:00/serving as an essential component,chief/chief%5:00:02:important:00/most important element,serious/serious%5:00:00:important:00/of great consequence,heavy/heavy%5:00:00:important:00/of great gravity or crucial import; requiring serious thought,essential/essential%5:00:00:important:00/of the greatest importance,burning/burning%5:00:00:important:00/of immediate import,grand/grand%5:00:00:important:00/the most important and magnificent in adornment,distinguished/distinguished%5:00:00:important:00/(used of persons) standing above others in character or attainment or reputation,historic/historic%5:00:00:important:00/important in history,strategic/strategic%5:00:00:important:00/highly important to or an integral part of a strategy or plan of action especially in war,indifferent/indifferent%5:00:00:unimportant:00/(often followed by `to') lacking importance; not mattering one way or the other,unimportant/unimportant%3:00:00::/not important,alpha/alpha%5:00:00:important:00/first in order of importance,lightweight/lightweight%5:00:00:unimportant:00/having no importance or influence,measurable/measurable%5:00:00:important:00/of distinguished importance,inconsequential/inconsequential%5:00:00:unimportant:00/lacking worth or importance
attention,attention_1:07:00::_a motionless erect stance with arms at the sides and feet together; assumed by military personnel during drill or review,absent/absent%5:00:00:inattentive:00/lost in thought; showing preoccupation,absorbed/absorbed%5:00:00:attentive:00/giving or marked by complete attention to,attentive/attentive%3:00:00::/(often followed by `to') giving care or attention,distracted/distracted%5:00:00:inattentive:00/having the attention diverted especially because of anxiety,dreamy/dreamy%5:00:00:inattentive:00/dreamy in mood or nature,observant/observant%5:00:00:attentive:00/paying close attention especially to details,forgetful/forgetful%5:00:00:inattentive:00/failing to keep in mind,solicitous/solicitous%5:00:00:attentive:00/showing hovering attentiveness,yawning/yawning%5:00:00:inattentive:00/showing lack of attention or boredom,inattentive/inattentive%3:00:00::/showing a lack of attention or care,advertent/advertent%5:00:00:attentive:00/giving attention,oversolicitous/oversolicitous%5:00:00:attentive:00/excessively solicitous,,,,,,,,
freedom,freedom_1:26:00::_the condition of being free; the power to act or speak or think without externally imposed restraints,free/free%3:00:00::/able to act at will; not hampered; not under compulsion or restraint,available/available%5:00:00:free:00/not busy; not otherwise committed,clear/clear%5:00:02:free:00/free from contact or proximity or connection,independent/independent%5:00:00:free:00/(of political bodies) not controlled by outside forces,"loose/loose%5:00:01:free:00/having escaped, especially from confinement",bound/bound%5:00:00:unfree:00/bound by contract,confined/confined%5:00:00:unfree:00/being in captivity,liberated/liberated%5:00:00:free:00/free from traditional social restraints,trapped/trapped%5:00:00:unfree:00/forced to turn and face attackers,unrestricted/unrestricted%5:00:00:free:00/free of restrictions on conduct,out-of-school/out-of-school%5:00:00:free:00/not attending school and therefore free to work,adscript/adscript%5:00:00:unfree:00/(used of persons) bound to a tract of land; hence their service is transferable from owner to owner,atrip/atrip%5:00:00:free:00/(of an anchor) just clear of the bottom,entangled/entangled%5:00:00:unfree:00/involved in difficulties,footloose/footloose%5:00:00:free:00/free to go or do as one pleases,nonautonomous/nonautonomous%5:00:00:unfree:00/(of peoples and political bodies) controlled by outside forces,prisonlike/prisonlike%5:00:00:unfree:00/resembling a prison,serflike/serflike%5:00:00:unfree:00/like someone in servitude,unconfined/unconfined%5:00:00:free:00/free from confinement or physical restraint,unconstrained/unconstrained%5:00:00:free:00/free from constraint
concreteness,concreteness_1:07:00::_the quality of being concrete (not abstract),real/real%5:00:00:concrete:00/capable of being treated as fact,objective/objective%5:00:00:concrete:00/belonging to immediate experience of actual things or events,concrete/concrete%3:00:00::/capable of being perceived by the senses; not abstract or imaginary,,,,,,,,,,,,,,,,,
intrusiveness,intrusiveness_1:07:00::_aggressiveness as evidenced by intruding; by advancing yourself or your ideas without invitation,busy/busy%5:00:00:intrusive:01/intrusive in a meddling or offensive manner,encroaching/encroaching%5:00:00:intrusive:01/gradually intrusive without right or permission,intrusive/intrusive%3:00:01::/tending to intrude (especially upon privacy),not_intrusive/not_intrusive%3:00:00::/not interfering or meddling,,,,,,,,,,,,,,,,
diverseness,diverseness_1:07:00::_noticeable heterogeneity,various/various%5:00:02:varied:00/having great diversity or variety,miscellaneous/miscellaneous%5:00:00:varied:00/having many aspects,unvarying/unvarying%3:00:00::/lacking variety,varicolored/varicolored%5:00:00:varied:00/having a variety of colors,omnifarious/omnifarious%5:00:00:varied:00/of all varieties or forms or kinds,variform/variform%5:00:00:varied:00/varying in form or shape,,,,,,,,,,,,,,
substantiality,substantiality_1:07:00::_the quality of being substantial or having substance,real/real%3:00:03::/having substance or capable of being treated as fact; not imaginary,aerial/aerial%5:00:00:insubstantial:00/characterized by lightness and insubstantiality; as impalpable or intangible as air,unreal/unreal%3:00:03::/lacking material form or substance; unreal,stringy/stringy%5:00:00:insubstantial:00/consisting of or containing string or strings,shadowy/shadowy%5:00:00:insubstantial:00/lacking in substance,,,,,,,,,,,,,,,
abstemiousness,abstemiousness_1:07:00::_moderation in eating and drinking,austere/austere%5:00:00:abstemious:00/practicing great self-denial,abstemious/abstemious%3:00:00::/sparing in consumption of especially food and drink,abstentious/abstentious%5:00:00:abstemious:00/self-restraining; not indulging an appetite especially for food or drink,,,,,,,,,,,,,,,,,
