Attribute,Interpretation,Kappa (n=5),# of submissions,Average # added,Average # removed,shared_adjectives,shared_dependencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wariness_1:07:00::,Moderate Agreement,0.4782214156,6,1,0.1666666667,"['unwary', 'gullible', 'unguarded', 'wary', 'on_guard']",unwary = gullible,unwary = unguarded,unwary < wary,unwary < on_guard,gullible = unguarded,gullible < wary,gullible < on_guard,unguarded < wary,unguarded < on_guard,wary = on_guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strength_1:07:00::,Moderate Agreement,0.5154960627,6,0.5,0.5,"['puny', 'faint', 'rugged', 'virile', 'powerful', 'fragile', 'weak', 'reinforced', 'delicate', 'stiff', 'dainty', 'tender', 'tough', 'strong', 'pale', 'feeble', 'vulnerable', 'fortified']",puny < faint,puny < rugged,puny < virile,puny < powerful,puny < reinforced,puny = delicate,puny < stiff,puny < tough,puny < strong,puny < pale,puny < fortified,faint < rugged,faint < virile,faint < powerful,faint > fragile,faint > weak,faint < reinforced,faint > delicate,faint < stiff,faint > dainty,faint > tender,faint < tough,faint < strong,faint > feeble,faint > vulnerable,faint < fortified,rugged > virile,rugged < powerful,rugged > fragile,rugged > weak,rugged > delicate,rugged > stiff,rugged > dainty,rugged > tender,rugged = tough,rugged < strong,rugged > pale,rugged > feeble,rugged > vulnerable,rugged < fortified,virile < powerful,virile > fragile,virile > weak,virile < reinforced,virile > delicate,virile > stiff,virile > dainty,virile > tender,virile < tough,virile < strong,virile > pale,virile > feeble,virile > vulnerable,virile < fortified,powerful > fragile,powerful > weak,powerful > reinforced,powerful > delicate,powerful > stiff,powerful > dainty,powerful > tender,powerful > tough,powerful < strong,powerful > pale,powerful > feeble,powerful > vulnerable,fragile = weak,fragile < reinforced,fragile < stiff,fragile < tough,fragile < strong,fragile < pale,fragile < feeble,fragile < fortified,weak < reinforced,weak < stiff,weak < dainty,weak < tough,weak < strong,weak < pale,weak < feeble,weak < vulnerable,weak < fortified,reinforced > delicate,reinforced > stiff,reinforced > dainty,reinforced > tender,reinforced < tough,reinforced < strong,reinforced > pale,reinforced > feeble,reinforced > vulnerable,reinforced < fortified,delicate < stiff,delicate = dainty,delicate < tough,delicate < strong,delicate < pale,delicate < feeble,delicate < vulnerable,delicate < fortified,stiff > dainty,stiff > tender,stiff < tough,stiff < strong,stiff > pale,stiff > feeble,stiff > vulnerable,stiff < fortified,dainty < tough,dainty < strong,dainty < pale,dainty = vulnerable,dainty < fortified,tender < tough,tender < strong,tender < pale,tender < fortified,tough < strong,tough > pale,tough > feeble,tough > vulnerable,tough < fortified,strong > pale,strong > feeble,strong > vulnerable,strong = fortified,pale > feeble,pale > vulnerable,pale < fortified,feeble = vulnerable,feeble < fortified,vulnerable < fortified,,,,,,,,,,,,,,,,,,,,,,,,,,,
fullness_1:26:00::,Substantial Agreement,0.6223090112,6,0.6666666667,2.3333333333,"['heavy', 'full', 'brimful', 'flooded', 'void', 'vacant', 'lifeless', 'bare', 'filled', 'stuffed', 'loaded', 'empty', 'congested']",heavy < full,heavy < brimful,heavy = flooded,heavy > void,heavy > vacant,heavy > lifeless,heavy > bare,heavy < filled,heavy = stuffed,heavy = loaded,heavy > empty,heavy > congested,full > flooded,full > void,full > vacant,full > lifeless,full > bare,full = filled,full > loaded,full > empty,full > congested,brimful > flooded,brimful > void,brimful > vacant,brimful > lifeless,brimful > bare,brimful = filled,brimful > empty,brimful > congested,flooded > void,flooded > vacant,flooded > lifeless,flooded > bare,flooded < filled,flooded = stuffed,flooded = loaded,flooded > empty,flooded > congested,void = vacant,void < lifeless,void < bare,void < filled,void < stuffed,void < loaded,void = empty,void < congested,vacant < lifeless,vacant < bare,vacant < filled,vacant < stuffed,vacant < loaded,vacant = empty,vacant < congested,lifeless = bare,lifeless < filled,lifeless < stuffed,lifeless < loaded,lifeless > empty,lifeless < congested,bare < filled,bare < stuffed,bare < loaded,bare > empty,bare < congested,filled > stuffed,filled > loaded,filled > empty,filled > congested,stuffed = loaded,stuffed > empty,stuffed > congested,loaded > empty,loaded > congested,empty < congested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nature_1:07:01::,Fair Agreement,0.26171875,8,0.375,1,"['disagreeable', 'nagging', 'sulky', 'ugly', 'churlish', 'ornery', 'gruff', 'ill-natured', 'snappy', 'placid', 'irritable', 'amiable', 'good-natured']",disagreeable < nagging,disagreeable > ornery,disagreeable > gruff,disagreeable < ill-natured,disagreeable < snappy,disagreeable < placid,disagreeable > irritable,disagreeable < amiable,disagreeable < good-natured,nagging > sulky,nagging > ugly,nagging > churlish,nagging > ornery,nagging > gruff,nagging = ill-natured,nagging < placid,nagging > irritable,nagging < amiable,nagging < good-natured,sulky > churlish,sulky > ornery,sulky > gruff,sulky < ill-natured,sulky < snappy,sulky < placid,sulky > irritable,sulky < amiable,sulky < good-natured,ugly > churlish,ugly > ornery,ugly > gruff,ugly < placid,ugly > irritable,ugly < amiable,ugly < good-natured,churlish > ornery,churlish < gruff,churlish < ill-natured,churlish < snappy,churlish < placid,churlish < irritable,churlish < amiable,churlish < good-natured,ornery = gruff,ornery < ill-natured,ornery < snappy,ornery < placid,ornery < amiable,ornery < good-natured,gruff < ill-natured,gruff < snappy,gruff < placid,gruff < amiable,gruff < good-natured,ill-natured = snappy,ill-natured < placid,ill-natured < amiable,ill-natured < good-natured,snappy < placid,snappy > irritable,snappy < amiable,snappy < good-natured,placid > irritable,placid < amiable,placid < good-natured,irritable < amiable,irritable < good-natured,amiable = good-natured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sincerity_1:07:00::,Moderate Agreement,0.5710441498,6,1,1,"['gilded', 'false', 'cordial', 'hypocritical', 'sincere', 'dissimulative', 'honest', 'plausible', 'heart-whole', 'feigned', 'insincere', 'true']",gilded = false,gilded < cordial,gilded < sincere,gilded < honest,gilded < plausible,gilded < heart-whole,gilded < true,false < cordial,false < hypocritical,false < sincere,false < honest,false < plausible,false < heart-whole,false = feigned,false = insincere,false < true,cordial > hypocritical,cordial < sincere,cordial > dissimulative,cordial < honest,cordial < plausible,cordial < heart-whole,cordial > feigned,cordial > insincere,cordial < true,hypocritical < sincere,hypocritical > dissimulative,hypocritical < honest,hypocritical < plausible,hypocritical < heart-whole,hypocritical > feigned,hypocritical > insincere,hypocritical < true,sincere > dissimulative,sincere > honest,sincere > plausible,sincere = heart-whole,sincere > feigned,sincere > insincere,sincere = true,dissimulative < honest,dissimulative < plausible,dissimulative < heart-whole,dissimulative = feigned,dissimulative < true,honest > plausible,honest > feigned,honest > insincere,honest = true,plausible < heart-whole,plausible > feigned,plausible > insincere,plausible < true,heart-whole > feigned,heart-whole > insincere,feigned = insincere,feigned < true,insincere < true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admissibility_1:07:00::,Substantial Agreement,0.7083813364,6,1,0,"['inadmissible', 'admissible', 'permissible', 'impermissible', 'allowable', 'admittable']",inadmissible < admissible,inadmissible < permissible,inadmissible = impermissible,inadmissible < allowable,inadmissible < admittable,admissible = permissible,admissible > impermissible,admissible = allowable,admissible = admittable,permissible > impermissible,permissible = allowable,permissible = admittable,impermissible < allowable,impermissible < admittable,allowable = admittable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attractiveness_1:07:00::,Moderate Agreement,0.4709933222,6,1,1.3333333333,"['dinky', 'fascinating', 'plain', 'taking', 'photogenic', 'hypnotic', 'winsome', 'magnetic', 'attractive', 'unattractive', 'unprepossessing', 'personable', 'irresistible']",dinky < fascinating,dinky < taking,dinky < photogenic,dinky < hypnotic,dinky < winsome,dinky < magnetic,dinky < attractive,dinky > unattractive,dinky = unprepossessing,dinky < personable,dinky < irresistible,fascinating > plain,fascinating < taking,fascinating < photogenic,fascinating < hypnotic,fascinating > winsome,fascinating < magnetic,fascinating < attractive,fascinating > unattractive,fascinating > unprepossessing,fascinating < personable,fascinating < irresistible,plain < taking,plain < photogenic,plain < hypnotic,plain < winsome,plain < magnetic,plain < attractive,plain > unattractive,plain < personable,plain < irresistible,taking < photogenic,taking < hypnotic,taking < magnetic,taking < attractive,taking > unattractive,taking > unprepossessing,taking < personable,taking < irresistible,photogenic < hypnotic,photogenic < magnetic,photogenic < attractive,photogenic > unattractive,photogenic > unprepossessing,photogenic < personable,photogenic < irresistible,hypnotic > winsome,hypnotic = magnetic,hypnotic > attractive,hypnotic > unattractive,hypnotic > unprepossessing,hypnotic > personable,winsome < magnetic,winsome < attractive,winsome > unattractive,winsome > unprepossessing,winsome < personable,winsome < irresistible,magnetic > attractive,magnetic > unattractive,magnetic > unprepossessing,magnetic > personable,attractive > unattractive,attractive > unprepossessing,attractive > personable,attractive < irresistible,unattractive < unprepossessing,unattractive < personable,unattractive < irresistible,unprepossessing < personable,unprepossessing < irresistible,personable < irresistible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seriousness_1:07:00::,Moderate Agreement,0.5494158435,8,1,0.375,"['light', 'overserious', 'earnest', 'thoughtful', 'sobering', 'silly', 'grave', 'flippant', 'serious', 'trivial', 'frivolous']",light < overserious,light < earnest,light < thoughtful,light < sobering,light > silly,light < grave,light > flippant,light < serious,light > trivial,light > frivolous,overserious > earnest,overserious > thoughtful,overserious > sobering,overserious > silly,overserious = grave,overserious > flippant,overserious > serious,overserious > trivial,overserious > frivolous,earnest < sobering,earnest > silly,earnest < grave,earnest > flippant,earnest < serious,earnest > trivial,earnest > frivolous,thoughtful < sobering,thoughtful > silly,thoughtful < grave,thoughtful > flippant,thoughtful < serious,thoughtful > trivial,thoughtful > frivolous,sobering > silly,sobering < grave,sobering > flippant,sobering > trivial,sobering > frivolous,silly < grave,silly < serious,silly > trivial,silly > frivolous,grave > flippant,grave > serious,grave > trivial,grave > frivolous,flippant < serious,flippant > frivolous,serious > trivial,serious > frivolous,trivial > frivolous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
destructibility_1:07:00::,Moderate Agreement,0.4170984456,6,1,0,"['undestroyable', 'indestructible', 'abolishable', 'destructible', 'destroyable']",undestroyable = indestructible,undestroyable < abolishable,undestroyable < destructible,undestroyable < destroyable,indestructible < abolishable,indestructible < destructible,indestructible < destroyable,destructible = destroyable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thickness_1:07:01::,Substantial Agreement,0.6677606545,6,0.6666666667,1.8333333333,"['heavy', 'sheer', 'quilted', 'light', 'fat', 'slender', 'filamentlike', 'thin', 'thick', 'fine', 'four-ply', 'hyperfine']",heavy > sheer,heavy > quilted,heavy > light,heavy = fat,heavy > slender,heavy > filamentlike,heavy > thin,heavy > fine,heavy > four-ply,heavy > hyperfine,sheer < quilted,sheer < light,sheer < fat,sheer < slender,sheer = filamentlike,sheer < thin,sheer < thick,sheer < fine,sheer < four-ply,sheer > hyperfine,quilted > light,quilted < fat,quilted > slender,quilted > filamentlike,quilted > thin,quilted < thick,quilted > fine,quilted = four-ply,quilted > hyperfine,light < fat,light = slender,light > filamentlike,light = thin,light < thick,light > fine,light < four-ply,light > hyperfine,fat > slender,fat > filamentlike,fat > thin,fat > fine,fat > four-ply,fat > hyperfine,slender > filamentlike,slender = thin,slender < thick,slender > fine,slender < four-ply,slender > hyperfine,filamentlike < thin,filamentlike < thick,filamentlike < fine,filamentlike < four-ply,filamentlike = hyperfine,thin < thick,thin > fine,thin < four-ply,thin > hyperfine,thick > fine,thick > four-ply,thick > hyperfine,fine < four-ply,fine > hyperfine,four-ply > hyperfine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creativity_1:09:00::,Fair Agreement,0.3338388215,6,1,0.1666666667,"['imaginative', 'creative', 'fictive', 'fanciful', 'sterile', 'uncreative']",imaginative = creative,imaginative > fictive,imaginative > fanciful,imaginative > sterile,imaginative > uncreative,creative > fictive,creative > fanciful,creative > sterile,creative > uncreative,fictive < fanciful,fictive > sterile,fictive > uncreative,fanciful > sterile,fanciful > uncreative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
