WorkerId,AssignmentId,Approve? (A/R),Feedback?,"Grant Bonus? (amount,reason)",attribute,answers,,,,,,,,,,,,,,,,,,
A03922113RU44GENR8ATX,a,,,intrusiveness_1:07:00::,not_intrusive : 0,encroaching : 18,intrusive : 20,,,,,,,,,,,,,,,,,
A2XFO0X6RCS98M,a,,,astringency_1:07:00::,nonastringent : 0,hemostatic : 17,astringent : 20,,,,,,,,,,,,,,,,,
AB98SGS280TY5,a,,,astringency_1:07:00::,nonastringent : 0,hemostatic : 19,astringent : 20,,,,,,,,,,,,,,,,,
A3GLMBZSG3VU4P,a,,,astringency_1:07:00::,nonastringent : 0,hemostatic : 11,astringent : 20,,,,,,,,,,,,,,,,,
A3T8J0PN3DLSTM,a,,,clarity_1:07:01::,puzzling : 0,unclear : 0,vague : 0,blurred : 1,broad : 2,lucid : 18,distinct : 19,vivid : 19,clear : 20,prima_facie : 20,unmistakable : 20,,,,,,,,,
A3K8M2HF171NED,a,,"(0.25, 'n/a')",clarity_1:07:01::,puzzling : 0,unclear : 0,blurred : 1,vague : 3,broad : 7,prima_facie : 10,clear : 18,distinct : 19,lucid : 19,unmistakable : 20,vivid : 20,,,,,,,,,
A3GLMBZSG3VU4P,a,,"(0.25, 'n/a')",clarity_1:07:01::,blurred : 0,puzzling : 0,unclear : 0,vague : 0,broad : 12,vivid : 18,unmistakable : 19,clear : 20,distinct : 20,lucid : 20,,,,,,,,,,
A1HKYY6XI2OHO1,a,,"(0.5, 'n/a')",assurance_1:09:00::,doubtful : 0,uncertain : 0,groping : 3,ambivalent : 10,certain : 20,positive : 20,,,,,,,,,,,,,,
A2XFO0X6RCS98M,a,,"(0.1, 'n/a')",assurance_1:09:00::,doubtful : 0,uncertain : 1,ambivalent : 9,groping : 11,positive : 18,certain : 20,,,,,,,,,,,,,,
A1LOD3LNX7FUPJ,a,,"(0.1, 'n/a')",assurance_1:09:00::,doubtful : 3,groping : 5,uncertain : 7,ambivalent : 8,certain : 18,positive : 19,,,,,,,,,,,,,,
